IP,Time,URL,Staus
10.129.0.1,[16/Jan/2018:06:02:14],POST /action.php HTTP/1.1,302
10.120.2.1,[30/Nov/2017:15:49:13],GET /home.php HTTP/1.1,200
10.111.2.1,[13/Nov/2017:13:03:48],GET /home.php HTTP/1.1,200
10.125.2.1,[03/Dec/2017:05:58:36],GET /login.php HTTP/1.1,200
10.131.2.1,[03/Dec/2017:10:20:03],GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.126.2.1,[30/Nov/2017:15:53:42],GET /logout.php HTTP/1.1,302
10.120.2.1,[30/Nov/2017:16:15:34],GET /home.php HTTP/1.1,302
10.127.2.1,[29/Jan/2018:20:48:26],GET /home.php HTTP/1.1,302
10.124.2.1,[29/Jan/2018:20:36:29],GET /home.php HTTP/1.1,302
10.123.2.1,[16/Nov/2017:20:03:51],GET /img/ruet.png HTTP/1.1,200
10.121.2.1,[30/Nov/2017:20:02:46],GET /css/normalize.css HTTP/1.1,200
10.120.2.1,[30/Nov/2017:15:01:15],GET /profile.php?user=bruce HTTP/1.1,200
10.129.2.1,[16/Jan/2018:07:21:15],GET /home.php HTTP/1.1,302
10.128.2.1,[29/Jan/2018:20:20:59],GET /login.php HTTP/1.1,200
10.130.2.1,[29/Jan/2018:20:48:00],GET /login.php HTTP/1.1,200
10.111.2.1,[11/Nov/2017:19:14:46],GET /profile.php?user=mdshs.shanto HTTP/1.1,200
10.126.2.1,[22/Feb/2018:15:02:33],GET /css/normalize.css HTTP/1.1,200
10.124.0.1,[09/Nov/2017:23:55:42],GET / HTTP/1.1,302
10.127.2.1,[29/Jan/2018:20:52:08],GET /login.php HTTP/1.1,200
10.127.0.1,[03/Dec/2017:03:28:54],GET /img/ruet.png HTTP/1.1,200
10.129.2.1,[15/Dec/2017:13:35:44],GET /js/vendor/moment.min.js HTTP/1.1,200
10.125.2.1,[29/Jan/2018:20:29:52],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.120.0.1,[29/Jan/2018:20:18:09],GET /home.php HTTP/1.1,302
10.120.2.1,[30/Nov/2017:15:52:04],GET /contestsubmission.php?id=16 HTTP/1.1,200
10.124.2.1,[19/Feb/2018:19:52:24],POST /compile.php HTTP/1.1,200
10.125.2.1,[20/Feb/2018:11:13:55],GET /css/main.css HTTP/1.1,200
10.127.2.1,[13/Nov/2017:17:58:46],GET /home.php HTTP/1.1,302
10.125.2.1,[30/Nov/2017:16:59:33],GET /css/style.css HTTP/1.1,200
10.127.2.1,[19/Nov/2017:06:53:49],GET /home.php HTTP/1.1,200
10.129.2.1,[23/Nov/2017:18:43:07],GET /allsubmission.php HTTP/1.1,200
10.111.2.1,[17/Nov/2017:15:12:14],GET / HTTP/1.1,302
10.123.2.1,[11/Nov/2017:19:42:25],GET /setcontest.php HTTP/1.1,200
10.125.0.1,[29/Nov/2017:21:51:57],GET /login.php HTTP/1.1,200
10.125.2.1,[30/Nov/2017:16:32:39],GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.123.0.1,[29/Jan/2018:20:53:14],GET /home.php HTTP/1.1,302
10.129.2.1,[30/Nov/2017:18:03:31],GET /archive.php HTTP/1.1,200
10.120.0.1,[01/Mar/2018:13:39:50],GET /login.php HTTP/1.1,200
10.131.0.1,[30/Nov/2017:12:37:07],GET /compiler.php HTTP/1.1,200
10.123.2.1,[30/Nov/2017:16:40:37],GET /img/ruet.png HTTP/1.1,200
10.126.2.1,[22/Feb/2018:07:26:11],GET / HTTP/1.1,302
10.120.2.1,[29/Jan/2018:20:20:31],GET /home.php HTTP/1.1,302
10.123.2.1,[29/Jan/2018:20:35:41],GET /login.php HTTP/1.1,200
10.123.2.1,[30/Nov/2017:21:00:35],GET /contestsubmission.php?id=16&show=Tasnim_1610007 HTTP/1.1,200
10.127.2.1,[29/Jan/2018:20:48:27],GET /home.php HTTP/1.1,302
10.124.2.1,[30/Nov/2017:15:05:13],GET /details.php?id=42 HTTP/1.1,200
10.111.2.1,[30/Nov/2017:07:52:38],GET /css/main.css HTTP/1.1,200
10.121.2.1,[29/Jan/2018:20:36:38],GET /login.php HTTP/1.1,200
10.127.0.1,[20/Dec/2017:08:15:45],GET /css/style.css HTTP/1.1,200
10.129.2.1,[30/Nov/2017:13:25:48],GET /archive.php HTTP/1.1,200
10.129.2.1,[30/Nov/2017:16:06:59],GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.111.2.1,[13/Nov/2017:13:03:26],GET /description.php?id=77 HTTP/1.1,200
